,data_url,labels
0,./Fatigue Detection/closed_eye\s0012_02204_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_05930_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0026_00977_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0004_00320_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_03267_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_04000_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0012_05429_0_0_1_2_1_03.png,1.0
0,./Fatigue Detection/closed_eye\s0019_02636_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_03530_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0029_00973_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0020_00067_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0027_00498_0_1_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0025_01075_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0014_07659_0_0_1_1_0_02.png,1.0
0,./Fatigue Detection/closed_eye\s0019_02009_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_05777_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0019_05245_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0027_00598_0_1_1_2_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0004_00188_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_02491_0_0_0_2_1_03.png,0.0
0,./Fatigue Detection/closed_eye\s0012_02929_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0009_00077_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0026_00980_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_04367_0_1_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0015_00858_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0019_04066_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0029_01380_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/open_eye\s0019_04703_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0001_00163_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_06058_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0016_00749_1_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0019_02425_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_01537_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0013_00121_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0016_00718_1_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0014_05308_0_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0002_00839_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0009_00136_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_04951_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0019_00939_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0014_02234_0_0_0_2_1_03.png,0.0
0,./Fatigue Detection/open_eye\s0019_05940_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0027_00323_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0002_00588_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0017_01396_1_0_1_0_1_01.png,1.0
0,./Fatigue Detection/closed_eye\s0012_01195_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/closed_eye\s0011_00407_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0012_03728_0_1_0_2_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0018_04409_0_1_1_2_0_01.png,1.0
0,./Fatigue Detection/open_eye\s0020_00441_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0008_00170_0_1_0_1_0_01.png,0.0
0,./Fatigue Detection/closed_eye\s0004_00915_0_0_0_0_0_01.png,0.0
0,./Fatigue Detection/open_eye\s0019_05180_0_0_1_0_0_01.png,1.0
0,./Fatigue Detection/closed_eye\s0002_00491_0_0_0_0_1_01.png,0.0
0,./Fatigue Detection/open_eye\s0028_00123_0_0_1_0_0_01.png,1.0
